CustomerID,Migration Probability
2985-JUUBZ,0.9826240370793969
6217-TOWGS,0.9127570350869886
9225-BZLNZ,0.8664878174444756
1697-BCSHV,0.8643205228322037
7869-ZYDST,0.8526010927554754
8623-ULFNQ,0.8394571148267758
4468-KAZHE,0.8177083665236529
2931-FSOHN,0.8035110308773692
2200-DSAAL,0.8029355468899944
2294-DMMUS,0.7973894595511178
8263-OKETD,0.7961861674482148
3259-QMXUN,0.7959143727428905
1309-XGFSN,0.7953556805622215
0191-ZHSKZ,0.7700355859886837
3398-GCPMU,0.7687336972184318
6352-GIGGQ,0.7633956065160435
7318-EIVKO,0.7620091303880122
2000-DHJUY,0.7534699853372914
6614-VBEGU,0.7530638319924441
9774-NRNAU,0.7518580341591597
5949-HGVJL,0.7496062302374561
7520-HQWJU,0.7482357015126739
0440-MOGPM,0.7452371618643947
7502-BNYGS,0.7379621202143997
1163-ONYEY,0.7374638286804333
0459-SPZHJ,0.734778618395579
4726-DLWQN,0.7323071671285766
2616-UUTFK,0.7291735963712861
2925-MXLSX,0.7288539453246031
0707-HOVVN,0.725936187876787
4680-KUTAJ,0.7240819815543529
3915-ODIYG,0.7237816049408343
5248-RPYWW,0.7218376416526882
9926-PJHDQ,0.7176777673884159
8663-UPDGF,0.7166314378792867
5387-ASZNZ,0.71504689598191
1089-HDMKP,0.7128561039403902
9385-NXKDA,0.7117089030281509
7868-BGSZA,0.7058601271394687
5120-ZBLAI,0.7057364618447217
6437-UDQJM,0.7026437745086105
6941-KXRRV,0.6991469707567372
4759-PXTAN,0.6989800851558983
0533-UCAAU,0.6983534939144953
9107-UKCKY,0.6981726857353405
4109-CYRBD,0.6974946535584344
2041-JIJCI,0.6960140850169918
0292-WEGCH,0.694746583103059
7351-KYHQH,0.6943781416514443
8659-HDIYE,0.6905087263742448
5423-BHIXO,0.6895004926042364
8550-XSXUQ,0.6881865605455744
8401-EMUWF,0.6847160946575425
2091-GPPIQ,0.6793228110704785
9677-AVKED,0.6789675330251187
8311-UEUAB,0.6780814021863215
1104-FEJAM,0.6710932080009652
9530-GRMJG,0.6707227267821264
3780-DDGSE,0.6698486424733646
2167-FQSTQ,0.6677145866793238
7503-MIOGA,0.6668877368311529
5820-PTRYM,0.6646033022450668
9691-HKOVS,0.6640124839687548
7690-KPNCU,0.6634888152354915
1227-UDMZR,0.6627665714257536
8016-ZMGMO,0.6626832197084238
1951-IEYXM,0.6617574554124233
5136-RGMZO,0.6610412376631456
8734-FNWVH,0.6600480750687093
2824-DXNKN,0.6559679732885825
9342-VNIMQ,0.6555098175981132
8201-AAXCB,0.6531472462617898
4626-OZDTJ,0.6507748695038466
3544-FBCAS,0.650497786396669
5651-WYIPH,0.6484680967751489
